product_id,platform,keyword,title,price,original_price,shop_name,brand,model,url,image_url,comment_count,good_count,general_count,poor_count,good_rate,general_rate,poor_rate,sales_text
tb_234501740900721,taobao,电火灶,2026纯电明火灶新款新型电火灶家用公寓商用农村工厂电燃灶电焰灶,300.0,,阳火旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRB7X3xykagVvZ7FbkH16MmEzuQwGr7UUgwe6qD6A4KYj&spm=a21n57.1.item.9,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2222460104592/O1CN01g9E1sR1jnBsHkDxjh_!!4611686018427383696-0-item_pic.jpg_580x580q90.jpg,3000100,0,0,0,,,,3000100+人付款
tb_104275653488246,taobao,电燃灶,华生好太太凹面钛晶电陶炉家用大功率猛火爆炒菜锅灶3500W电磁炉,231.0,,华生好太太旗舰店旺旺在线,华生,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQ434EWsJyY26HHZffDzo7xPeaMRpjo9d2u1VjGrmcetx&spm=a21n57.1.item.43,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2218806286407/O1CN01zp55V41xCShidEcFI_!!4611686018427385927-0-item_pic.jpg_580x580q90.jpg,2312000,0,0,0,,,,2312000+人付款
tb_116622256144277,taobao,电火灶,华生 好太太家用新款凹面电陶炉炒菜锅猛火3500W大功率电磁炉电灶,210.0,,华生好太太旗舰店旺旺在线,华生,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQ434EWsJyY26HHZffDzo7xPeaMRpjo9d2u1VjGrmcetx&spm=a21n57.1.item.7,https://gw.alicdn.com/imgextra/O1CN0170Sz331xCShcerblH_!!4611686018427385927-0-item_pic.jpg_580x580q90.jpg,2106000,0,0,0,,,,2106000+人付款
tb_357409778824851,taobao,电火灶,燚龙电焰灶电火灶插电生明火纯电燃灶台式单灶大火功率新能源双灶,159.0,,燚龍电焰灶工厂店旺旺在线,燚龙,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTybgFoUjcG4Lkp8h5oF3hoyW5A3RhxJfitY53DmvorSi&spm=a21n57.1.item.21,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2210827293603/O1CN01NJejFm1cUEABSHQU1_!!2210827293603.jpg_580x580q90.jpg,1599100,0,0,0,,,,1599100+人付款
tb_611627158812330,taobao,电火灶双灶,奥米康电陶炉双灶嵌入式电磁炉家用大功率爆炒双头静音台式光波炉,138.0,,7年老店奥米康旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUXGZaBav4YF2XujQWDiKeLfaoqYSHXmnYzmPyaEnPA78&spm=a21n57.1.item.40,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2201006424298/O1CN01idKzba1hcXNPLaj7j_!!4611686018427379946-0-item_pic.jpg_580x580q90.jpg,1388300,0,0,0,,,,1388300+人付款
tb_573127954909514,taobao,电火灶商用,炜坤火锅店电磁炉圆形商用灶3000W嵌入式线控2000W饭店专用酒店,78.2,,炜坤旗舰店旺旺在线,炜坤,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUmkWSTcXKYJ8rUAL94EGbYmTkPMG7KKFbDjapcYYeiGa&spm=a21n57.1.item.50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2218963879080/O1CN01r4qcBn2GwhLYTM7Q9_!!4611686018427380904-0-item_pic.jpg_580x580q90.jpg,782000,0,0,0,,,,782000+人付款
tb_2,taobao,电火灶双灶,千图大功率电磁灶油烟净化一体电炒灶猛火炉双灶15kw酒店食堂专用,680.0,,5年老店千图电器旗舰店旺旺在线,千图,,https://click.simba.taobao.com/cc_im?p=%B5%E7%BB%F0%D4%EE%CB%AB%D4%EE&s=1621417085&k=2561&e=F%2BrvNYYbQsBAN4kaMtGcUJxMSCAhM%2BF3npoxiJwF1%2BUdUnzRhay4BfvuTNjInr2F6QDMpI7rtsiIJ%2FbjiWuCeeRaW3FnpplhH2r5LgDh0TC6vt0pkXk06rTU%2B0EpEqkDegCFfk4zMTmlrYYk7LnMs2RZIeiQIi1dGULSiF%2Bfs0ISonwL%2BmRqrnokOS3ex8ecrMpJpfXzwPejkT5wCmzABsvrvqwonPcFFwu0628kILUz4pnmG2QN7wwOKRW7RvRLhFYxdqmHG6uheXzrSaZuHfNkIVkWYcxRAAiAuTREUohclT95HxWhkj4a1E%2BDSBnf3puyLtkViUWJgnSmzwHrqherovdwN5TEI0qHCqlLUi1uwkaJejJOBPNsJuY5PLhNW58tpOsyIGogaHo3HaNMF5pwjw63PaMRweEWOtv9DzBc4gQjyZMrAXRlaL33xJW%2FqnKYdRH02IxGuBfjjqDT0zdb0HlD0xdIrRS%2FjOqZhYbFk8eUjJGm0mrDMcpOvonRA5Z9w09nwAbyngUdwxD6zvk7kLz%2F3FZhtTF7BOz66j%2BU7TEeNxAC5doG4DBYwT0fiMXnadiLw0Vj7JP%2FgLl5aFxFqD17wEf7UFPwmPvwA2zEtB6Y7Oyh%2F6zQivnloN4P6A0w7U9Lro8VAI3Ou83TiZf0VaV%2B0A0xY%2FRgZVzK9ItoeGhsJ6AL2IBJmDYs2DnF1sswVjNkevgDZH0q%2BKR3G6MH2OaUprW8NeMQJPfWC%2B%2BmiBH5BonYicltfGJcYt4zATzkBUzDBtVep8NZrGQctZEsWQvUn%2FS04l1G22evrxFbWD1DP0vHXM683N66bk%2B5%2FSfPv7xb8d%2BCKMuVwJPhuS%2FciIN876sUKU%2BAPiZotmUPwv29aKPXG9LkVEppCetMy92OxObAuFWJSY4LQdwPk5O%2FL4KM9UHRxaek3UfhdS5qQ8rTdC7v3Q%2B9N7aL5Ik2DwNImPaJ6fQ07nkyV1%2B6nCMo3OB5onWPQNiorDt2xQ0H3DVZzQNVwt3UFxrCRR0YnbGjgbbCH%2BrGHDEVqVMVoRJmM4MgOjIuZPdsjuln4iFQQBstLixz05K0kj7KxHjwy%2BPfUm5RvS1T8acA2eVakZyj7BGs12QXL5C0vy7fWbDl7PqfbqaBHScV9C67hurVGnx0bR02VvXvcyL2aVf1iU2uwsL51u7fkZChjIiW27Zf0P54bEL%2FSTFQC8QjTy9M8oeVYMuMEo0i6OgR5i3AUioLJ7VYJBv33ktGyJ9t0WVhppZ1uidrLsc34gnpHRzv%2FP2C6xpLWLbRtrZZbacI%2FvqikincMPEoP%2BC3kvZNkl85a1FvDmBhIU0iLerDDv2cd0vXiCf5oZDcgG6%2BOL%2BDx%2BWWCrfQliedSIQsUtEmUd64KkHtcSBskrgPJqvo7cH5bDC1mUmLdd1P4iEdCXqvPFN4H6ZEsMz4gqC2nCFi5FNsMPtk8Zyo1Tfp9Ih4TGrL5r8tCRFs835BHgV1cdmffgJpQHgTqNT0U0AvjN8LHkwvgSk3ru92Y3E7cViXRMZQZ4sQmTRDo0xOHtb5HdI00joQ5dpaz6qfM69uis7poPnQu241BOev%2BP9SBVnyTYRq6ImHMyS%2BYHzBFA93zReSE8eD%2BKEGNaAu8sTvgTXIHZ9Sr3I35WUzCgJXKnYmw2BaVzCaW4Po38lcfeI%2FmFE0lWZOFRj9ioMcb70xgF8d%2FOgseXpfkzegwWVBMlpsOGl%2BEXjiwNTRTgvtEH31qqSO7yx5el%2BTN6DBp438Lh7hOEltmxPFzMb7XrC%2B0ZCqDd%2BAVoxlXG2pJqOzetdNoQJocDq3CiZKLlqfZLZmJ6X0QGK7%2FIGVZW4wyy2%2FusNo7lvkiWJupHe%2FcdKYQiLEaffbNwb0Sih1ZbWoxpMsuz6nmIquC9D52AY6XivDZxIYGBmFeGRYfjEklvxRa0DSjLj%2BP1YLBLSJv%2BSthpcM0HkgavAaYT3GEgQHFLPO9eY86ZmqCjg%2Fdf9dFKJ70Sn3V%2FTwsdzdYGZ%2FzmVVCIuCU7s7P3Crqj1KnUaf%2BrfVpT2ip3yqKy8aynmqXb0BpOGhx10qO07a%2FHywyNs1sygg0bb5m%2F%2B29CIhoRejxLUYdPuh7Lf4ERD37n4giCw5pJtUG5FDcSofLQQ%2BYJHg4cF9I4Pp%2BXeIGiZQE%2Bq%2BDhdt302zSycbeG9XhTOM3ijOs9y9fzU%2Bt6XvnoIuRKAG36%2FZFR%2BlAXYMHrD4sjI8gkjmays0bcn6N3UfesbKeeX8a0M4Lcpl5yUEDgNbaz2ne3xQimlCUfQMD58NnPa9yRXvZPwwT5YnhkXJKD%2FgLUmUjPSXqBkroBlb43EU6WIetWREvMSHlhJH%2FLs6Utqhyjr1qwtrWOGqPMzv%2ByVXh4mt108eN3CN5ZInH%2Bwm6cZOyKVCoVPNcHByQENO9ZOw05JyS%2BWVhs7e7AJmfzBnJc3GHDEVqVMVoUHl1jwMP2qQlGYMnoFYab%2FdkwtZH1ZkiFNAL4zfCx5Mm1dQJHu4un3nB%2FcuDQ%2BCMuupsQQVZhQWOvGw%2BMUOptVU7wIlIaKBhX8s9xA%2B811u&mm_sceneid=2_0_1594990122_0&spm=a21n57.1.item.28,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2209421056767/O1CN016Zp58K1zrLFwg5VHW_!!4611686018427386623-0-item_pic.jpg_580x580q90.jpg,680821,0,0,0,,,,680821人付款
tb_919622311697474,taobao,电火灶商用,低压电子猛火灶铸铁商用摆摊液化气天然气单灶铁板烧手抓饼烤冷面,60.1,,汇鑫炉具旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVFnuoAL2s2fGmBDnRE6dJBmVBiqwPWQGk9w1HsiQ7qxe&spm=a21n57.1.item.29,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2215502551537/O1CN01LyHzuG1NDzZYh7aKI_!!2215502551537.jpg_580x580q90.jpg,601000,0,0,0,,,,601000+人付款
tb_474571952356123,taobao,电火灶商用,商用电磁炉油烟净化一体灶15kw大功率电炒灶饭店酒店爆炒猛火电炉,480.0,,DECISHE厨电旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQitRbHAVCEjKsW6ZkvaKht2TCauFAYdVKPJKharvMQaA&spm=a21n57.1.item.10,https://gw.alicdn.com/imgextra/O1CN01tPtPbc1Hojtao8jAg_!!4611686018427384293-0-item_pic.jpg_580x580q90.jpg,480029,0,0,0,,,,480029人付款
tb_626993317574832,taobao,电火灶,国爱电火灶家用插电式明火猛火电燃灶大功率电陶炉一体双灶3500W,439.0,,国爱电火灶品牌店旺旺在线,国爱,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWd5wmCrHEnZYEbcopSWvmFvRZkvsoe6Gp2icxEP1X9D1&spm=a21n57.1.item.5,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2208335262465/O1CN016NJZuE1U51R7VWUPV_!!2208335262465.jpg_580x580q90.jpg,439931,0,0,0,,,,439931人付款
